source,game,period,draw_date,draw,trial,open_no,source_url,source_note,non_official,status_code,parse_ok,error
一定牛/ydniu,排列五,2026141,2026-05-31,21582,09915,,https://m.ydniu.com/kaijiang/pl5/sjh/2026141.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026141,2026-05-31,397,843,,https://www.3d178.cn/kaijiang/2026/2026141.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026141,2026-05-31,397,838,047,https://www.8200.cn/kjh/3d/2026141.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026142,2026-06-01,916,173,,https://www.8200.cn/kjh/p3/2026142.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026142,2026-06-01,91617,87194,,https://m.ydniu.com/kaijiang/pl5/sjh/2026142.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026142,2026-06-01,894,033,,https://www.3d178.cn/kaijiang/2026/2026142.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026142,2026-06-01,894,934,089,https://www.8200.cn/kjh/3d/2026142.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026143,2026-06-02,744,695,,https://www.8200.cn/kjh/p3/2026143.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026143,2026-06-02,74400,55752,,https://m.ydniu.com/kaijiang/pl5/sjh/2026143.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026143,2026-06-02,376,823,,https://www.3d178.cn/kaijiang/2026/2026143.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026143,2026-06-02,376,105,813,https://www.8200.cn/kjh/3d/2026143.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026144,2026-06-03,462,837,,https://www.8200.cn/kjh/p3/2026144.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026144,2026-06-03,46265,49266,,https://m.ydniu.com/kaijiang/pl5/sjh/2026144.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026144,2026-06-03,726,680,,https://www.3d178.cn/kaijiang/2026/2026144.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026144,2026-06-03,726,337,198,https://www.8200.cn/kjh/3d/2026144.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026145,2026-06-04,993,299,,https://www.8200.cn/kjh/p3/2026145.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026145,2026-06-04,99300,62248,,https://m.ydniu.com/kaijiang/pl5/sjh/2026145.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026145,2026-06-04,279,210,,https://www.3d178.cn/kaijiang/2026/2026145.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026145,2026-06-04,279,769,762,https://www.8200.cn/kjh/3d/2026145.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026146,2026-06-05,154,755,,https://www.8200.cn/kjh/p3/2026146.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026146,2026-06-05,15492,39129,,https://m.ydniu.com/kaijiang/pl5/sjh/2026146.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026146,2026-06-05,464,733,,https://www.3d178.cn/kaijiang/2026/2026146.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026146,2026-06-05,464,512,134,https://www.8200.cn/kjh/3d/2026146.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026147,2026-06-06,590,638,,https://www.8200.cn/kjh/p3/2026147.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026147,2026-06-06,59053,24140,,https://m.ydniu.com/kaijiang/pl5/sjh/2026147.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026147,2026-06-06,712,729,,https://www.3d178.cn/kaijiang/2026/2026147.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026147,2026-06-06,712,308,607,https://www.8200.cn/kjh/3d/2026147.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026148,2026-06-07,065,309,,https://www.8200.cn/kjh/p3/2026148.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026148,2026-06-07,06562,64121,,https://m.ydniu.com/kaijiang/pl5/sjh/2026148.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026148,2026-06-07,408,896,,https://www.3d178.cn/kaijiang/2026/2026148.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026148,2026-06-07,408,941,250,https://www.8200.cn/kjh/3d/2026148.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026149,2026-06-08,325,796,,https://www.8200.cn/kjh/p3/2026149.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026149,2026-06-08,32533,58906,,https://m.ydniu.com/kaijiang/pl5/sjh/2026149.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026149,2026-06-08,696,012,,https://www.3d178.cn/kaijiang/2026/2026149.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026149,2026-06-08,696,878,105,https://www.8200.cn/kjh/3d/2026149.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026150,2026-06-09,340,334,,https://www.8200.cn/kjh/p3/2026150.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026150,2026-06-09,34071,22833,,https://m.ydniu.com/kaijiang/pl5/sjh/2026150.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026150,2026-06-09,720,156,,https://www.3d178.cn/kaijiang/2026/2026150.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
